title,author,year,doi,url
A Model-Driven Framework for Interoperable Cloud Resources Management,Denis WeerasiriMoshe Chai BarukhBoualem BenatallahJian Cao,2016,10.1007/978-3-319-46295-0_12,http://link.springer.com/chapter/10.1007/978-3-319-46295-0_12
A Modeling Method for Systematic Architecture Reconstruction of Microservice-Based Software Systems,Florian RademacherSabine SachwehAlbert Zündorf,2020,10.1007/978-3-030-49418-6_21,http://link.springer.com/chapter/10.1007/978-3-030-49418-6_21
A Modeling and Engineering Methodology for Developing Internet of Services from Scratch,"Li, Jianan and Wang, Jingying and Xu, Hanchuan and Wang, Zhongjie and Xu, Xiaofei",2021,10.1109/SERVICES51467.2021.00040,
A Multi-Platform Specification Language and Dataset for the Analysis of DevOps Pipelines,"Bedekar, Manas Manoj and Mussbacher, Gunter",2024,10.1145/3652620.3686247,https://doi.org/10.1145/3652620.3686247
A Nine Year Story of the India Software Engineering Conference from 2008 to 2016,"Sharma, Richa and Sureka, Ashish",2016,10.1145/2994205.2994214,https://doi.org/10.1145/2994205.2994214
A Novel Methodology to Restructure Legacy Application onto Micro-Service-Based Architecture System,T. R. VinayAjeet A. Chikkamannur,2022,10.1007/978-981-16-1342-5_39,http://link.springer.com/chapter/10.1007/978-981-16-1342-5_39
A Proposal of a Cloud-Oriented Security and Performance Simulator Provided as-a-Service,Valentina CasolaAlessandra De BenedictisMassimiliano RakUmberto Villano,2019,10.1007/978-3-319-93659-8_93,http://link.springer.com/chapter/10.1007/978-3-319-93659-8_93
A Role-Based Orchestration Approach for Cloud Applications,"WANG, Yue and LEE, Choonhwa",2021,10.1109/ICOIN50884.2021.9333919,
A Scalable Platform for Monitoring Data Intensive Applications,Ioan DrăganGabriel IuhaszDana Petcu,2019,10.1007/s10723-019-09483-1,http://link.springer.com/article/10.1007/s10723-019-09483-1
A Security and Privacy-Preserving Path for Enhancing Information Systems that Manage Cross-Cloud Applications,Yiannis VerginadisIoannis PatiniotakisMarcin PrusinskiMarta RozanskaSebastian SchorkGregoris Mentzas,2020,10.1007/978-3-030-44038-1_103,http://link.springer.com/chapter/10.1007/978-3-030-44038-1_103
A Self Healing Microservices Architecture: A Case Study in Docker Swarm Cluster,Basel MagablehMuder Almiani,2020,10.1007/978-3-030-15032-7_71,http://link.springer.com/chapter/10.1007/978-3-030-15032-7_71
A Software Framework for Mobile Apps in the Museum Application Domain,Tobias Baumgärtner,2024,10.1007/978-3-658-44367-2,http://link.springer.com/book/10.1007/978-3-658-44367-2
A Survey on the Use of Lightweight Virtualization in I4.0 Manufacturing Environments,Giuseppe Di ModicaLuca Foschini,2023,10.1007/s10922-023-09725-4,http://link.springer.com/article/10.1007/s10922-023-09725-4
A Systematic Mapping Study on Microservices Architecture in DevOps,Muhammad Waseem and Peng Liang and Mojtaba Shahin,2020,https://doi.org/10.1016/j.jss.2020.110798,https://www.sciencedirect.com/science/article/pii/S0164121220302053
A Systematic Review on Software Architectures for IoT Systems and Future Direction to the Adoption of Microservices Architecture,Abdul Razzaq,2020,10.1007/s42979-020-00359-w,http://link.springer.com/article/10.1007/s42979-020-00359-w
A Taxonomy and Survey of Cloud Resource Orchestration Techniques,"Weerasiri, Denis and Barukh, Moshe Chai and Benatallah, Boualem and Sheng, Quan Z. and Ranjan, Rajiv",2017,10.1145/3054177,https://doi.org/10.1145/3054177
"A Taxonomy of Vulnerabilities, Attacks, and Security Solutions in Industrial PLCs",Eduard Paul EnoiuKejsi BiçokuCristina SeceleanuMichael Felderer,2024,10.1007/978-3-031-42212-6_1,http://link.springer.com/chapter/10.1007/978-3-031-42212-6_1
A Technology Readiness Level for Blockchain,"Clawson, Garry",2023,10.1145/3555776.3577704,https://doi.org/10.1145/3555776.3577704
A Tertiary Study on Microservices: Research Trends and Recommendations,Z. StojanovI. HristoskiJ. StojanovA. Stojkov,2023,10.1134/S0361768823080200,http://link.springer.com/article/10.1134/S0361768823080200
A Tool to Manage Traceability on Several Models and Its Use Case,Haruhiko Kaiya and Shogo Tatsui and Atsuo Hazeyama and Shinpei Ogata and Takao Okubo and Nobukazu Yoshioka and Hironori Washizaki,2020,https://doi.org/10.1016/j.procs.2020.09.155,https://www.sciencedirect.com/science/article/pii/S187705092032055X
"A UML Profile for the Design, Quality Assessment and Deployment of Data-intensive Applications",Diego Perez-PalacinJosé MerseguerJosé I. RequenoM. GuerrieroElisabetta Di NittoD. A. Tamburri,2019,10.1007/s10270-019-00730-3,http://link.springer.com/article/10.1007/s10270-019-00730-3
A Vision on Accelerating Enterprise IT System 2.0,"Singhal, Rekha and Chahal, Dheeraj and Kunde, Shruti and Mishra, Mayank and Nambiar, Manoj",2020,10.1145/3399579.3399863,https://doi.org/10.1145/3399579.3399863
A community-sourced view on engineering digital twins: a report from the EDT.Community,"Cleophas, Loek and Godfrey, Thomas and Khelladi, Djamel Eddine and Lehner, Daniel and Combemale, Benoit and van den Brand, Mark and Vierhauser, Michael and Wimmer, Manuel and Zschaler, Steffen",2022,10.1145/3550356.3561549,https://doi.org/10.1145/3550356.3561549
A comprehensive survey on digital twin for future networks and emerging Internet of Things industry,Akram Hakiri and Aniruddha Gokhale and Sadok Ben Yahia and Nedra Mellouli,2024,https://doi.org/10.1016/j.comnet.2024.110350,https://www.sciencedirect.com/science/article/pii/S1389128624001828
"A cross-company ethnographic study on software teams for DevOps and microservices: organization, benefits, and issues","Zhou, Xin and Huang, Huang and Zhang, He and Huang, Xin and Shao, Dong and Zhong, Chenxin",2022,10.1145/3510457.3513054,https://doi.org/10.1145/3510457.3513054
A declarative modelling framework for the deployment and management of blockchain applications,"Baresi, Luciano and Quattrocchi, Giovanni and Tamburri, Damian Andrew and Terracciano, Luca",2022,10.1145/3550355.3552417,https://doi.org/10.1145/3550355.3552417
A domain-specific language for describing machine learning datasets,Joan Giner-Miguelez and Abel Gómez and Jordi Cabot,2023,https://doi.org/10.1016/j.cola.2023.101209,https://www.sciencedirect.com/science/article/pii/S2590118423000199
A feature-based survey of Fog modeling languages,Abdelghani Alidra and Hugo Bruneliere and Thomas Ledoux,2023,https://doi.org/10.1016/j.future.2022.08.010,https://www.sciencedirect.com/science/article/pii/S0167739X22002710
A hybrid deep learning and ontology-driven approach to perform business process capability assessment,Marcelo Romero and Wided Guédria and Hervé Panetto and Béatrix Barafort,2022,https://doi.org/10.1016/j.jii.2022.100409,https://www.sciencedirect.com/science/article/pii/S2452414X22000760
A knowledge-driven approach for designing data analytics platforms,Madhushi BandaraFethi A. RabhiMuneera Bano,2023,10.1007/s00766-022-00385-5,http://link.springer.com/article/10.1007/s00766-022-00385-5
"A methodical framework for service oriented architecture adoption: Guidelines, building blocks, and method fragments",Supriya Pulparambil and Youcef Baghdadi and Camille Salinesi,2021,https://doi.org/10.1016/j.infsof.2020.106487,https://www.sciencedirect.com/science/article/pii/S0950584920302299
A model driven method to deploy auto-scaling configuration for cloud services,"Alipour, Hanieh and Liu, Yan",2016,10.1145/2993274.3011285,https://doi.org/10.1145/2993274.3011285
A model-based DevOps process for development of mathematical database cost models,Ahmed ChikhaouiAbdelhafid ChadliAbdelkader Ouared,2023,10.1007/s10515-023-00390-0,http://link.springer.com/article/10.1007/s10515-023-00390-0
A model-driven approach for DevOps,"da Gião, Hugo",2022,10.1109/VL/HCC53370.2022.9833125,
A model-driven engineering framework to support the functional safety process,"Meyers, Bart and Gadeyne, Klaas and Oakes, Bentley James and Bernaerts, Matthias and Vangheluwe, Hans and Denil, Joachim",2021,10.1109/MODELS-C.2019.00094,https://doi.org/10.1109/MODELS-C.2019.00094
A model-driven framework to support strategic agility: Value-added perspective,Konstantinos Tsilionis and Yves Wautelet,2022,https://doi.org/10.1016/j.infsof.2021.106734,https://www.sciencedirect.com/science/article/pii/S0950584921001841
A model-driven workflow for distributed microservice development,"Rademacher, Florian and Sorgalla, Jonas and Sachweh, Sabine and Z\""{u}ndorf, Albert",2019,10.1145/3297280.3300182,https://doi.org/10.1145/3297280.3300182
"A model-driven, metrics-based approach to assessing support for quality aspects in MLOps system architectures",Stephen John Warnett and Evangelos Ntentos and Uwe Zdun,2025,https://doi.org/10.1016/j.jss.2024.112257,https://www.sciencedirect.com/science/article/pii/S0164121224003017
A new approach for teaching programming: Model-based Agile Programming (MBAD),"Telesko, Rainer and Spahic-Bogdanovic, Maja and Hinkelmann, Knut and Pande, Charuta",2023,10.1145/3594441.3594445,https://doi.org/10.1145/3594441.3594445
A new metamodel approach of CI/CD applied to Internet of Things Ecosystem,"El Khalyly, Badr and Belangour, Abdessamad and Banane, Mouad and Erraissi, Allae",2020,10.1109/ICECOCS50124.2020.9314485,
A novel methodology to construct digital twin models for spacecraft operations using fault and behaviour trees,"Christofi, Nikolena and Pucel, Xavier",2022,10.1145/3550356.3561550,https://doi.org/10.1145/3550356.3561550
A proactive approach for runtime self-adaptation based on queueing network fluid analysis,"Incerto, Emilio and Tribastone, Mirco and Trubiani, Catia",2015,10.1145/2804371.2804375,https://doi.org/10.1145/2804371.2804375
A reference architecture for quantum computing as a service,Aakash Ahmad and Ahmed B. Altamimi and Jamal Aqib,2024,https://doi.org/10.1016/j.jksuci.2024.102094,https://www.sciencedirect.com/science/article/pii/S1319157824001836
A review of Earth Artificial Intelligence,Ziheng Sun and Laura Sandoval and Robert Crystal-Ornelas and S. Mostafa Mousavi and Jinbo Wang and Cindy Lin and Nicoleta Cristea and Daniel Tong and Wendy Hawley Carande and Xiaogang Ma and Yuhan Rao and James A. Bednar and Amanda Tan and Jianwu Wang and Sanjay Purushotham and Thomas E. Gill and Julien Chastang and Daniel Howard and Benjamin Holt and Chandana Gangodagamage and Peisheng Zhao and Pablo Rivas and Zachary Chester and Javier Orduz and Aji John,2022,https://doi.org/10.1016/j.cageo.2022.105034,https://www.sciencedirect.com/science/article/pii/S0098300422000036
A review on Virtualized Infrastructure Managers with management and orchestration features in NFV architecture,Karamjeet Kaur and Veenu Mangat and Krishan Kumar,2022,https://doi.org/10.1016/j.comnet.2022.109281,https://www.sciencedirect.com/science/article/pii/S1389128622003395
A security policy enforcement framework for controlling IoT tenant applications in the edge,"Nguyen, Phu H. and Phung, Phu H. and Truong, Hong-Linh",2018,10.1145/3277593.3277602,https://doi.org/10.1145/3277593.3277602
A semantic recommendation algorithm for the PaaSport platform-as-a-service marketplace,Nick Bassiliades and Moisis Symeonidis and Georgios Meditskos and Efstratios Kontopoulos and Panagiotis Gouvas and Ioannis Vlahavas,2017,https://doi.org/10.1016/j.eswa.2016.09.032,https://www.sciencedirect.com/science/article/pii/S0957417416305164
A software architecture framework for quality-aware DevOps,"Di Nitto, Elisabetta and Jamshidi, Pooyan and Guerriero, Michele and Spais, Ilias and Tamburri, Damian A.",2016,10.1145/2945408.2945411,https://doi.org/10.1145/2945408.2945411
A software engineering perspective on engineering machine learning systems: State of the art and challenges,Görkem Giray,2021,https://doi.org/10.1016/j.jss.2021.111031,https://www.sciencedirect.com/science/article/pii/S016412122100128X
A sustainable-development approach for self-adaptive cyber–physical system’s life cycle: A systematic mapping study,Luisa Restrepo and Jose Aguilar and Mauricio Toro and Elizabeth Suescún,2021,https://doi.org/10.1016/j.jss.2021.111010,https://www.sciencedirect.com/science/article/pii/S0164121221001072
A systematic approach for performance assessment using process mining,Simona BernardiJuan L. DomínguezAbel GómezChristophe JoubertJosé MerseguerDiego Perez-PalacinJosé I. RequenoAlberto Romeu,2018,10.1007/s10664-018-9606-9,http://link.springer.com/article/10.1007/s10664-018-9606-9
A systematic approach for performance evaluation using process mining: the POSIDONIA operations case study,"Bernardi, Simona and Requeno, Jos\'{e} Ignacio and Joubert, Christophe and Romeu, Alberto",2016,10.1145/2945408.2945413,https://doi.org/10.1145/2945408.2945413
A taxonomy of scaling agility,Everist Limaj and Edward W.N. Bernroider,2022,https://doi.org/10.1016/j.jsis.2022.101721,https://www.sciencedirect.com/science/article/pii/S0963868722000178
A theory on human factors in DevOps adoption,Juanjo Pérez-Sánchez and Saima Rafi and Juan Manuel {Carrillo de Gea} and Joaquín {Nicolás Ros} and José Luis {Fernández Alemán},2025,https://doi.org/10.1016/j.csi.2024.103907,https://www.sciencedirect.com/science/article/pii/S092054892400076X
A validated model for the scoping process of quality requirements: a multi-case study,Thomas OlssonKrzysztof WnukSlinger Jansen,2021,10.1007/s10664-020-09896-7,http://link.springer.com/article/10.1007/s10664-020-09896-7
ACCORDANT: A domain specific-model and DevOps approach for big data analytics architectures,Camilo Castellanos and Carlos A. Varela and Dario Correal,2021,https://doi.org/10.1016/j.jss.2020.110869,https://www.sciencedirect.com/science/article/pii/S0164121220302594
ACM REP '23: Proceedings of the 2023 ACM Conference on Reproducibility and Replicability,,2023,,
AI Models for Blockchain-Based Intelligent Networks in IoT Systems,Bharat BhushanArun Kumar SangaiahTu N. Nguyen,2023,10.1007/978-3-031-31952-5,http://link.springer.com/book/10.1007/978-3-031-31952-5
AI Security Continuum: Concept and Challenges,"Washizaki, Hironori and Yoshioka, Nobukazu",2024,10.1145/3644815.3644983,https://doi.org/10.1145/3644815.3644983
AI Technologies for Information Systems and Management Science,Lalit GargNishtha KesswaniImene BriguiBhupesh Kr. DewanganR. N. ShuklaDilip Singh Sisodia,2024,10.1007/978-3-031-66410-6,http://link.springer.com/book/10.1007/978-3-031-66410-6
AI-augmented Model-Based Capabilities in the AIDOaRt Project: Continuous Development of Cyber-Physical Systems,"Bagnato, Alessandra and Cicchetti, Antonio and Berardinelli, Luca and Bruneliere, Hugo and Eramo, Romina",2023,10.1145/3591335.3591349,https://doi.org/10.1145/3591335.3591349
"AIDOaRt: AI-augmented Automation for DevOps, a Model-based Framework for Continuous Development in Cyber-Physical Systems","Eramo, Romina and Muttillo, Vittoriano and Berardinelli, Luca and Bruneliere, Hugo and Gomez, Abel and Bagnato, Alessandra and Sadovykh, Andrey and Cicchetti, Antonio",2021,10.1109/DSD53832.2021.00053,
"AIDOaRt: AI-augmented Automation for DevOps, a model-based framework for continuous development in Cyber–Physical Systems",Hugo Bruneliere and Vittoriano Muttillo and Romina Eramo and Luca Berardinelli and Abel Gómez and Alessandra Bagnato and Andrey Sadovykh and Antonio Cicchetti,2022,https://doi.org/10.1016/j.micpro.2022.104672,https://www.sciencedirect.com/science/article/pii/S0141933122002022
AIPR '22: Proceedings of the 2022 5th International Conference on Artificial Intelligence and Pattern Recognition,,2022,,
AML: An accuracy metric model for effective evaluation of log parsing techniques,Issam Sedki and Abdelwahab Hamou-Lhadj and Otmane Ait Mohamed,2024,https://doi.org/10.1016/j.jss.2024.112154,https://www.sciencedirect.com/science/article/pii/S0164121224001997
APIs Are the Public Persona of an Industrialised Bank,Mohan Bhatia,2022,10.1007/978-981-16-6069-6_9,http://link.springer.com/chapter/10.1007/978-981-16-6069-6_9
ARC3N: A Collaborative Uncertainty Catalog to Address the Awareness Problem of Model-Based Confidentiality Analysis,"Hahner, Sebastian and Niehues, Nils and Boltz, Nicolas and Fuksa, Mario and Heinrich, Robert",2024,10.1145/3652620.3688556,https://doi.org/10.1145/3652620.3688556
"ARES '22: Proceedings of the 17th International Conference on Availability, Reliability and Security",,2022,,
"ARES '24: Proceedings of the 19th International Conference on Availability, Reliability and Security",,2024,,
ARGON: A Model-Driven Infrastructure Provisioning Tool,"Sandobalin, Julio and Insfran, Emilio and Abrahão, Silvia",2019,10.1109/MODELS-C.2019.00114,
ARGON: A Tool for Modeling Cloud Resources,Julio SandobalinEmilio InsfranSilvia Abrahao,2018,10.1007/978-3-319-91764-1_37,http://link.springer.com/chapter/10.1007/978-3-319-91764-1_37
ARGON: a model-driven infrastructure provisioning tool,"Sandobalin, Julio and Insfran, Emilio and Abiah\~{a}o, Silvia",2021,10.1109/MODELS-C.2019.00114,https://doi.org/10.1109/MODELS-C.2019.00114
ASE '16: Proceedings of the 31st IEEE/ACM International Conference on Automated Software Engineering,,2016,,
ASE '22: Proceedings of the 37th IEEE/ACM International Conference on Automated Software Engineering,,2022,,
AST '24: Proceedings of the 5th ACM/IEEE International Conference on Automation of Software Test (AST 2024),,2024,,
Accelerating Digital Transformation,Jan BoschJan CarlsonHelena Holmström OlssonKristian SandahlMiroslaw Staron,2022,10.1007/978-3-031-10873-0,http://link.springer.com/book/10.1007/978-3-031-10873-0
Actionable light-weight process guidance,Christoph Mayr-Dorn and Cosmina-Cristina Ratiu and Luciano {Marchezan de Paula} and Felix Keplinger and Alexander Egyed and Gala Walden,2024,https://doi.org/10.1016/j.jss.2024.112064,https://www.sciencedirect.com/science/article/pii/S0164121224001092
Adopting and Sustaining Microservice-Based Software Development,"Vitharana, Padmal and Daya, Shahir A.",2024,10.1145/3651620,https://doi.org/10.1145/3651620
Advanced Information Networking and Applications,Prof. Leonard BarolliDr. Isaac WoungangDr. Tomoya Enokido,2021,10.1007/978-3-030-75078-7,http://link.springer.com/book/10.1007/978-3-030-75078-7
Advanced Information Networking and Applications,Prof. Dr. Leonard BarolliProf. Farookh HussainProf. Tomoya Enokido,2022,10.1007/978-3-030-99619-2,http://link.springer.com/book/10.1007/978-3-030-99619-2
Advanced Information Networking and Applications,Leonard Barolli,2023,10.1007/978-3-031-28694-0,http://link.springer.com/book/10.1007/978-3-031-28694-0
Advanced Information Systems Engineering,Prof. Dr. Schahram DustdarDr. Eric YuCamille SalinesiDominique RieuVik Pant,2020,10.1007/978-3-030-49435-3,http://link.springer.com/book/10.1007/978-3-030-49435-3
Advanced Information Systems Engineering,Marta IndulskaIris Reinhartz-BergerCarlos CetinaOscar Pastor,2023,10.1007/978-3-031-34560-9,http://link.springer.com/book/10.1007/978-3-031-34560-9
Advanced Information Systems Engineering,Prof. Dr. Xavier FranchGeert PoelsDr. Frederik GaillyMonique Snoeck,2022,10.1007/978-3-031-07472-1,http://link.springer.com/book/10.1007/978-3-031-07472-1
Advanced Information Systems Engineering,Giancarlo GuizzardiFlavia SantoroHaralambos MouratidisPnina Soffer,2024,10.1007/978-3-031-61057-8,http://link.springer.com/book/10.1007/978-3-031-61057-8
Advanced Information Systems Engineering,Paolo GiorginiBarbara Weber,2019,10.1007/978-3-030-21290-2,http://link.springer.com/book/10.1007/978-3-030-21290-2
Advanced Information Systems Engineering,Marcello La RosaShazia SadiqProf. Ernest Teniente,2021,10.1007/978-3-030-79382-1,http://link.springer.com/book/10.1007/978-3-030-79382-1
Advanced Information Systems Engineering Workshops,Marcela RuizPnina Soffer,2023,10.1007/978-3-031-34985-0,http://link.springer.com/book/10.1007/978-3-031-34985-0
Advanced Intelligent Systems for Sustainable Development (AI2SD’2020),Janusz KacprzykDr. Valentina E. BalasProf. Mostafa Ezziyyani,2022,10.1007/978-3-030-90639-9,http://link.springer.com/book/10.1007/978-3-030-90639-9
"Advanced Research in Technologies, Information, Innovation and Sustainability",Teresa GuardaFilipe PortelaJose Maria Diaz-Nafria,2024,10.1007/978-3-031-48858-0,http://link.springer.com/book/10.1007/978-3-031-48858-0
Advanced Software Engineering,Ina SchieferdeckerTom Ritter,2019,10.1007/978-3-662-58134-6_21,http://link.springer.com/chapter/10.1007/978-3-662-58134-6_21
Advanced Software Engineering,Prof. Dr. Ina SchieferdeckerDr. Tom Ritter,2018,10.1007/978-3-662-55890-4_21,http://link.springer.com/chapter/10.1007/978-3-662-55890-4_21
Advanced Software Technology Paradigms and AI Deployment,Andriy LuntovskyyUlrich Winkler,2024,10.1007/978-3-031-66329-1_38,http://link.springer.com/chapter/10.1007/978-3-031-66329-1_38
Advanced Systems Engineering,Manfred BroyWolfgang BöhmBernhard Rumpe,2021,10.1007/978-3-030-62136-0_19,http://link.springer.com/chapter/10.1007/978-3-030-62136-0_19
Advances and Trends in Artificial Intelligence. Artificial Intelligence Practices,Prof. Hamido FujitaAli SelamatProf. Dr. Jerry Chun-Wei LinDr. Moonis Ali,2021,10.1007/978-3-030-79457-6,http://link.springer.com/book/10.1007/978-3-030-79457-6
Advances in Artificial Intelligence and Security,Xingming SunProf. Xiaorui ZhangZhihua XiaProf. Dr. Elisa Bertino,2022,10.1007/978-3-031-06761-7,http://link.springer.com/book/10.1007/978-3-031-06761-7
