title,author,year,doi,url,Inclusion/Exclusion criteria
A Concrete Syntax Transformation Approach for Software Language Processing,Kevin LanoQiaomu XueHoward Haughton,2024,10.1007/s42979-024-02979-y,http://link.springer.com/article/10.1007/s42979-024-02979-y,EC1
A Context-Aware Service for Authorizing Multi-cloud Deployments,Yiannis VerginadisIoannis PatiniotakisGregoris Mentzas,2019,10.1007/978-3-030-15035-8_98,http://link.springer.com/chapter/10.1007/978-3-030-15035-8_98,EC1
A Cross-Domain Systematic Mapping Study on Software Engineering for Digital Twins,Manuela Dalibor and Nico Jansen and Bernhard Rumpe and David Schmalzing and Louis Wachtmeister and Manuel Wimmer and Andreas Wortmann,2022,https://doi.org/10.1016/j.jss.2022.111361,https://www.sciencedirect.com/science/article/pii/S0164121222000917,EC3
A DMN-Based Approach for Dynamic Deployment Modelling of Cloud Applications,Frank GriesingerDaniel SeyboldJörg DomaschkaKyriakos KritikosRobert Woitsch,2018,10.1007/978-3-319-72125-5_8,http://link.springer.com/chapter/10.1007/978-3-319-72125-5_8,EC1
A DevOps framework for quality-driven self-protection in web software systems,"Beigi-Mohammadi, Nasim and Litoiu, Marin and Emami-Taba, Mahsa and Tahvildari, Ladan and Fokaefs, Marios and Merlo, Ettore and Onut, Iosif Viorel",2018,,,EC1
A Domain-Specific Language for Monitoring ML Model Performance,"Kourouklidis, Panagiotis and Kolovos, Dimitris and Noppen, Joost and Matragkas, Nicholas",2023,10.1109/MODELS-C59198.2023.00056,,EC1
A Full-Digital Test Method for Satellite-Borne Software,Pan XinJiao Rong-HuiHe Jing,2023,10.1007/978-981-19-9968-0_7,http://link.springer.com/chapter/10.1007/978-981-19-9968-0_7,EC1
A Journey into Security Certification,Marco AnisettiClaudio Agostino ArdagnaErnesto DamianiNabil El Ioini,2025,10.1007/978-3-031-59724-4,http://link.springer.com/book/10.1007/978-3-031-59724-4,EC1
A Low-Code Approach for Connected Robots,Rafail BrouzosKonstantinos PanayiotouEmmanouil TsardouliasAndreas Symeonidis,2023,10.1007/s10846-023-01861-y,http://link.springer.com/article/10.1007/s10846-023-01861-y,EC1
A Low-Code Development Environment to Orchestrate Model Management Services,Arsene IndamutsaDavide Di RuscioAlfonso Pierantonio,2021,10.1007/978-3-030-85874-2_36,http://link.springer.com/chapter/10.1007/978-3-030-85874-2_36,EC2
Model for Service License in API Ecosystems,Maja VukovicLiangZhao ZengSriram Rajagopal,2014,10.1007/978-3-662-45391-9_51,http://link.springer.com/chapter/10.1007/978-3-662-45391-9_51,IC1
A Microservice-based Middleware for the Digital Factory,Michele Ciavotta and Marino Alge and Silvia Menato and Diego Rovere and Paolo Pedrazzoli,2017,https://doi.org/10.1016/j.promfg.2017.07.197,https://www.sciencedirect.com/science/article/pii/S2351978917304055,EC1
Standards-Based DevOps Automation and Integration Using TOSCA,"Wettinger, Johannes and Breitenb\""{u}cher, Uwe and Leymann, Frank",2014,10.1109/UCC.2014.14,https://doi.org/10.1109/UCC.2014.14,IC1
A Model-Driven Approach Towards Automatic Migration to Microservices,Antonio BucchiaroneKemal SoysalClaudio Guidi,2020,10.1007/978-3-030-39306-9_2,http://link.springer.com/chapter/10.1007/978-3-030-39306-9_2,EC1
A Model-Driven DevOps Framework for QoS-Aware Cloud Applications,"Guerriero, Michele and Ciavotta, Michele and Gibilisco, Giovanni Paolo and Ardagna, Danilo",2015,10.1109/SYNASC.2015.60,,IC1
A Model-Driven Approach to Continuous Delivery of Cloud Resources,Julio Sandobalin,2018,10.1007/978-3-319-91764-1_29,http://link.springer.com/chapter/10.1007/978-3-319-91764-1_29,EC1
A Model-Driven Architectural Design Method for Big Data Analytics Applications,"Castellanos, Camilo and Pérez, Boris and Correal, Darío and Varela, Carlos A.",2020,10.1109/ICSA-C50368.2020.00026,,EC1
DICE: quality-driven development of data-intensive cloud applications,"Casale, G. and Ardagna, D. and Artac, M. and Barbier, F. and Nitto, E. Di and Henry, A. and Iuhasz, G. and Joubert, C. and Merseguer, J. and Munteanu, V. I. and P\'{e}rez, J. F. and Petcu, D. and Rossi, M. and Sheridan, C. and Spais, I. and Vladu\v{s}i\v{c}, D.",2015,,,IC1
SPACE4Cloud: a DevOps environment for multi-cloud applications,"Guerriero, Michele and Ciavotta, Michele and Gibilisco, Giovanni Paolo and Ardagna, Danilo",2015,10.1145/2804371.2804378,https://doi.org/10.1145/2804371.2804378,IC1
A Model-Driven Framework for Interoperable Cloud Resources Management,Denis WeerasiriMoshe Chai BarukhBoualem BenatallahJian Cao,2016,10.1007/978-3-319-46295-0_12,http://link.springer.com/chapter/10.1007/978-3-319-46295-0_12,IC1
A Modeling Method for Systematic Architecture Reconstruction of Microservice-Based Software Systems,Florian RademacherSabine SachwehAlbert Zündorf,2020,10.1007/978-3-030-49418-6_21,http://link.springer.com/chapter/10.1007/978-3-030-49418-6_21,EC1
A Modeling and Engineering Methodology for Developing Internet of Services from Scratch,"Li, Jianan and Wang, Jingying and Xu, Hanchuan and Wang, Zhongjie and Xu, Xiaofei",2021,10.1109/SERVICES51467.2021.00040,,EC1
A model driven method to deploy auto-scaling configuration for cloud services,"Alipour, Hanieh and Liu, Yan",2016,10.1145/2993274.3011285,https://doi.org/10.1145/2993274.3011285,IC1
A Nine Year Story of the India Software Engineering Conference from 2008 to 2016,"Sharma, Richa and Sureka, Ashish",2016,10.1145/2994205.2994214,https://doi.org/10.1145/2994205.2994214,EC1
A Novel Methodology to Restructure Legacy Application onto Micro-Service-Based Architecture System,T. R. VinayAjeet A. Chikkamannur,2022,10.1007/978-981-16-1342-5_39,http://link.springer.com/chapter/10.1007/978-981-16-1342-5_39,EC1
A Proposal of a Cloud-Oriented Security and Performance Simulator Provided as-a-Service,Valentina CasolaAlessandra De BenedictisMassimiliano RakUmberto Villano,2019,10.1007/978-3-319-93659-8_93,http://link.springer.com/chapter/10.1007/978-3-319-93659-8_93,EC1
A Role-Based Orchestration Approach for Cloud Applications,"WANG, Yue and LEE, Choonhwa",2021,10.1109/ICOIN50884.2021.9333919,,EC1
A Scalable Platform for Monitoring Data Intensive Applications,Ioan DrăganGabriel IuhaszDana Petcu,2019,10.1007/s10723-019-09483-1,http://link.springer.com/article/10.1007/s10723-019-09483-1,EC1
A Security and Privacy-Preserving Path for Enhancing Information Systems that Manage Cross-Cloud Applications,Yiannis VerginadisIoannis PatiniotakisMarcin PrusinskiMarta RozanskaSebastian SchorkGregoris Mentzas,2020,10.1007/978-3-030-44038-1_103,http://link.springer.com/chapter/10.1007/978-3-030-44038-1_103,EC1
A Self Healing Microservices Architecture: A Case Study in Docker Swarm Cluster,Basel MagablehMuder Almiani,2020,10.1007/978-3-030-15032-7_71,http://link.springer.com/chapter/10.1007/978-3-030-15032-7_71,EC1
A Software Framework for Mobile Apps in the Museum Application Domain,Tobias Baumgärtner,2024,10.1007/978-3-658-44367-2,http://link.springer.com/book/10.1007/978-3-658-44367-2,EC1
A Survey on the Use of Lightweight Virtualization in I4.0 Manufacturing Environments,Giuseppe Di ModicaLuca Foschini,2023,10.1007/s10922-023-09725-4,http://link.springer.com/article/10.1007/s10922-023-09725-4,EC1
A Systematic Mapping Study on Microservices Architecture in DevOps,Muhammad Waseem and Peng Liang and Mojtaba Shahin,2020,https://doi.org/10.1016/j.jss.2020.110798,https://www.sciencedirect.com/science/article/pii/S0164121220302053,EC1
A Systematic Review on Software Architectures for IoT Systems and Future Direction to the Adoption of Microservices Architecture,Abdul Razzaq,2020,10.1007/s42979-020-00359-w,http://link.springer.com/article/10.1007/s42979-020-00359-w,EC1
A Taxonomy and Survey of Cloud Resource Orchestration Techniques,"Weerasiri, Denis and Barukh, Moshe Chai and Benatallah, Boualem and Sheng, Quan Z. and Ranjan, Rajiv",2017,10.1145/3054177,https://doi.org/10.1145/3054177,EC1
"A Taxonomy of Vulnerabilities, Attacks, and Security Solutions in Industrial PLCs",Eduard Paul EnoiuKejsi BiçokuCristina SeceleanuMichael Felderer,2024,10.1007/978-3-031-42212-6_1,http://link.springer.com/chapter/10.1007/978-3-031-42212-6_1,EC1
A Technology Readiness Level for Blockchain,"Clawson, Garry",2023,10.1145/3555776.3577704,https://doi.org/10.1145/3555776.3577704,EC1
A Tertiary Study on Microservices: Research Trends and Recommendations,Z. StojanovI. HristoskiJ. StojanovA. Stojkov,2023,10.1134/S0361768823080200,http://link.springer.com/article/10.1134/S0361768823080200,EC1
A Tool to Manage Traceability on Several Models and Its Use Case,Haruhiko Kaiya and Shogo Tatsui and Atsuo Hazeyama and Shinpei Ogata and Takao Okubo and Nobukazu Yoshioka and Hironori Washizaki,2020,https://doi.org/10.1016/j.procs.2020.09.155,https://www.sciencedirect.com/science/article/pii/S187705092032055X,EC1
"A UML Profile for the Design, Quality Assessment and Deployment of Data-intensive Applications",Diego Perez-PalacinJosé MerseguerJosé I. RequenoM. GuerrieroElisabetta Di NittoD. A. Tamburri,2019,10.1007/s10270-019-00730-3,http://link.springer.com/article/10.1007/s10270-019-00730-3,EC1
A Vision on Accelerating Enterprise IT System 2.0,"Singhal, Rekha and Chahal, Dheeraj and Kunde, Shruti and Mishra, Mayank and Nambiar, Manoj",2020,10.1145/3399579.3399863,https://doi.org/10.1145/3399579.3399863,EC1
A community-sourced view on engineering digital twins: a report from the EDT.Community,"Cleophas, Loek and Godfrey, Thomas and Khelladi, Djamel Eddine and Lehner, Daniel and Combemale, Benoit and van den Brand, Mark and Vierhauser, Michael and Wimmer, Manuel and Zschaler, Steffen",2022,10.1145/3550356.3561549,https://doi.org/10.1145/3550356.3561549,EC1
A comprehensive survey on digital twin for future networks and emerging Internet of Things industry,Akram Hakiri and Aniruddha Gokhale and Sadok Ben Yahia and Nedra Mellouli,2024,https://doi.org/10.1016/j.comnet.2024.110350,https://www.sciencedirect.com/science/article/pii/S1389128624001828,EC1
"A cross-company ethnographic study on software teams for DevOps and microservices: organization, benefits, and issues","Zhou, Xin and Huang, Huang and Zhang, He and Huang, Xin and Shao, Dong and Zhong, Chenxin",2022,10.1145/3510457.3513054,https://doi.org/10.1145/3510457.3513054,EC1
A declarative modelling framework for the deployment and management of blockchain applications,"Baresi, Luciano and Quattrocchi, Giovanni and Tamburri, Damian Andrew and Terracciano, Luca",2022,10.1145/3550355.3552417,https://doi.org/10.1145/3550355.3552417,EC1
A domain-specific language for describing machine learning datasets,Joan Giner-Miguelez and Abel Gómez and Jordi Cabot,2023,https://doi.org/10.1016/j.cola.2023.101209,https://www.sciencedirect.com/science/article/pii/S2590118423000199,EC1
A feature-based survey of Fog modeling languages,Abdelghani Alidra and Hugo Bruneliere and Thomas Ledoux,2023,https://doi.org/10.1016/j.future.2022.08.010,https://www.sciencedirect.com/science/article/pii/S0167739X22002710,EC1
A hybrid deep learning and ontology-driven approach to perform business process capability assessment,Marcelo Romero and Wided Guédria and Hervé Panetto and Béatrix Barafort,2022,https://doi.org/10.1016/j.jii.2022.100409,https://www.sciencedirect.com/science/article/pii/S2452414X22000760,EC1
A knowledge-driven approach for designing data analytics platforms,Madhushi BandaraFethi A. RabhiMuneera Bano,2023,10.1007/s00766-022-00385-5,http://link.springer.com/article/10.1007/s00766-022-00385-5,EC1
"A methodical framework for service oriented architecture adoption: Guidelines, building blocks, and method fragments",Supriya Pulparambil and Youcef Baghdadi and Camille Salinesi,2021,https://doi.org/10.1016/j.infsof.2020.106487,https://www.sciencedirect.com/science/article/pii/S0950584920302299,EC1
CloudMap: A Visual Notation for Representing and Managing Cloud Resources,Denis WeerasiriMoshe Chai BarukhBoualem BenatallahCao Jian,2016,10.1007/978-3-319-39696-5_26,http://link.springer.com/chapter/10.1007/978-3-319-39696-5_26,IC1
Model-driven continuous deployment for quality DevOps,"Arta\v{c}, Matej and Borov\v{s}ak, Tadej and Di Nitto, Elisabetta and Guerriero, Michele and Tamburri, Damian A.",2016,10.1145/2945408.2945417,https://doi.org/10.1145/2945408.2945417,IC1
A model-driven approach for DevOps,"da Gião, Hugo",2022,10.1109/VL/HCC53370.2022.9833125,,EC4
A model-driven engineering framework to support the functional safety process,"Meyers, Bart and Gadeyne, Klaas and Oakes, Bentley James and Bernaerts, Matthias and Vangheluwe, Hans and Denil, Joachim",2021,10.1109/MODELS-C.2019.00094,https://doi.org/10.1109/MODELS-C.2019.00094,EC7
Streamlining DevOps automation for Cloud applications using TOSCA as standardized metamodel,Johannes Wettinger and Uwe Breitenbücher and Oliver Kopp and Frank Leymann,2016,https://doi.org/10.1016/j.future.2015.07.017,https://www.sciencedirect.com/science/article/pii/S0167739X15002496,IC1
A model-driven workflow for distributed microservice development,"Rademacher, Florian and Sorgalla, Jonas and Sachweh, Sabine and Z\""{u}ndorf, Albert",2019,10.1145/3297280.3300182,https://doi.org/10.1145/3297280.3300182,EC1
"A model-driven, metrics-based approach to assessing support for quality aspects in MLOps system architectures",Stephen John Warnett and Evangelos Ntentos and Uwe Zdun,2025,https://doi.org/10.1016/j.jss.2024.112257,https://www.sciencedirect.com/science/article/pii/S0164121224003017,EC1
A new approach for teaching programming: Model-based Agile Programming (MBAD),"Telesko, Rainer and Spahic-Bogdanovic, Maja and Hinkelmann, Knut and Pande, Charuta",2023,10.1145/3594441.3594445,https://doi.org/10.1145/3594441.3594445,EC1
"A Model-Driven Approach to Continuous Delivery of
Cloud Resources","Lars
Braubach, Juan M. Murillo, Nima Kaviani, Manuel Lama, Loli Burgue�o, Naouel
Moha, and Marc Oriol (",2017,,,IC1
A novel methodology to construct digital twin models for spacecraft operations using fault and behaviour trees,"Christofi, Nikolena and Pucel, Xavier",2022,10.1145/3550356.3561550,https://doi.org/10.1145/3550356.3561550,EC1
A proactive approach for runtime self-adaptation based on queueing network fluid analysis,"Incerto, Emilio and Tribastone, Mirco and Trubiani, Catia",2015,10.1145/2804371.2804375,https://doi.org/10.1145/2804371.2804375,EC1
A reference architecture for quantum computing as a service,Aakash Ahmad and Ahmed B. Altamimi and Jamal Aqib,2024,https://doi.org/10.1016/j.jksuci.2024.102094,https://www.sciencedirect.com/science/article/pii/S1319157824001836,EC1
A review of Earth Artificial Intelligence,Ziheng Sun and Laura Sandoval and Robert Crystal-Ornelas and S. Mostafa Mousavi and Jinbo Wang and Cindy Lin and Nicoleta Cristea and Daniel Tong and Wendy Hawley Carande and Xiaogang Ma and Yuhan Rao and James A. Bednar and Amanda Tan and Jianwu Wang and Sanjay Purushotham and Thomas E. Gill and Julien Chastang and Daniel Howard and Benjamin Holt and Chandana Gangodagamage and Peisheng Zhao and Pablo Rivas and Zachary Chester and Javier Orduz and Aji John,2022,https://doi.org/10.1016/j.cageo.2022.105034,https://www.sciencedirect.com/science/article/pii/S0098300422000036,EC1
A review on Virtualized Infrastructure Managers with management and orchestration features in NFV architecture,Karamjeet Kaur and Veenu Mangat and Krishan Kumar,2022,https://doi.org/10.1016/j.comnet.2022.109281,https://www.sciencedirect.com/science/article/pii/S1389128622003395,EC1
A security policy enforcement framework for controlling IoT tenant applications in the edge,"Nguyen, Phu H. and Phung, Phu H. and Truong, Hong-Linh",2018,10.1145/3277593.3277602,https://doi.org/10.1145/3277593.3277602,EC1
A semantic recommendation algorithm for the PaaSport platform-as-a-service marketplace,Nick Bassiliades and Moisis Symeonidis and Georgios Meditskos and Efstratios Kontopoulos and Panagiotis Gouvas and Ioannis Vlahavas,2017,https://doi.org/10.1016/j.eswa.2016.09.032,https://www.sciencedirect.com/science/article/pii/S0957417416305164,EC1
A software architecture framework for quality-aware DevOps,"Di Nitto, Elisabetta and Jamshidi, Pooyan and Guerriero, Michele and Spais, Ilias and Tamburri, Damian A.",2016,10.1145/2945408.2945411,https://doi.org/10.1145/2945408.2945411,EC1
A software engineering perspective on engineering machine learning systems: State of the art and challenges,Görkem Giray,2021,https://doi.org/10.1016/j.jss.2021.111031,https://www.sciencedirect.com/science/article/pii/S016412122100128X,EC1
A sustainable-development approach for self-adaptive cyber–physical system’s life cycle: A systematic mapping study,Luisa Restrepo and Jose Aguilar and Mauricio Toro and Elizabeth Suescún,2021,https://doi.org/10.1016/j.jss.2021.111010,https://www.sciencedirect.com/science/article/pii/S0164121221001072,EC1
A systematic approach for performance assessment using process mining,Simona BernardiJuan L. DomínguezAbel GómezChristophe JoubertJosé MerseguerDiego Perez-PalacinJosé I. RequenoAlberto Romeu,2018,10.1007/s10664-018-9606-9,http://link.springer.com/article/10.1007/s10664-018-9606-9,EC1
A systematic approach for performance evaluation using process mining: the POSIDONIA operations case study,"Bernardi, Simona and Requeno, Jos\'{e} Ignacio and Joubert, Christophe and Romeu, Alberto",2016,10.1145/2945408.2945413,https://doi.org/10.1145/2945408.2945413,EC1
A taxonomy of scaling agility,Everist Limaj and Edward W.N. Bernroider,2022,https://doi.org/10.1016/j.jsis.2022.101721,https://www.sciencedirect.com/science/article/pii/S0963868722000178,EC1
A theory on human factors in DevOps adoption,Juanjo Pérez-Sánchez and Saima Rafi and Juan Manuel {Carrillo de Gea} and Joaquín {Nicolás Ros} and José Luis {Fernández Alemán},2025,https://doi.org/10.1016/j.csi.2024.103907,https://www.sciencedirect.com/science/article/pii/S092054892400076X,EC1
A validated model for the scoping process of quality requirements: a multi-case study,Thomas OlssonKrzysztof WnukSlinger Jansen,2021,10.1007/s10664-020-09896-7,http://link.springer.com/article/10.1007/s10664-020-09896-7,EC1
ACCORDANT: A domain specific-model and DevOps approach for big data analytics architectures,Camilo Castellanos and Carlos A. Varela and Dario Correal,2021,https://doi.org/10.1016/j.jss.2020.110869,https://www.sciencedirect.com/science/article/pii/S0164121220302594,EC1
ACM REP '23: Proceedings of the 2023 ACM Conference on Reproducibility and Replicability,,2023,,,EC5
AI Models for Blockchain-Based Intelligent Networks in IoT Systems,Bharat BhushanArun Kumar SangaiahTu N. Nguyen,2023,10.1007/978-3-031-31952-5,http://link.springer.com/book/10.1007/978-3-031-31952-5,EC1
AI Security Continuum: Concept and Challenges,"Washizaki, Hironori and Yoshioka, Nobukazu",2024,10.1145/3644815.3644983,https://doi.org/10.1145/3644815.3644983,EC1
AI Technologies for Information Systems and Management Science,Lalit GargNishtha KesswaniImene BriguiBhupesh Kr. DewanganR. N. ShuklaDilip Singh Sisodia,2024,10.1007/978-3-031-66410-6,http://link.springer.com/book/10.1007/978-3-031-66410-6,EC1
(WIP) CloudCAMP: Automating the Deployment and Management of Cloud Services,"Bhattacharjee, Anirban and Barve, Yogesh and Gokhale, Aniruddha and Kuroda, Takayuki",2018,10.1109/SCC.2018.00038,,IC1
"AIDOaRt: AI-augmented Automation for DevOps, a Model-based Framework for Continuous Development in Cyber-Physical Systems","Eramo, Romina and Muttillo, Vittoriano and Berardinelli, Luca and Bruneliere, Hugo and Gomez, Abel and Bagnato, Alessandra and Sadovykh, Andrey and Cicchetti, Antonio",2021,10.1109/DSD53832.2021.00053,,EC7
A Method and Programming Model for Developing Interacting Cloud Applications Based on the TOSCA Standard,Michael ZimmermannUwe BreitenbücherFrank Leymann,2018,10.1007/978-3-319-93375-7_13,http://link.springer.com/chapter/10.1007/978-3-319-93375-7_13,IC1
AIPR '22: Proceedings of the 2022 5th International Conference on Artificial Intelligence and Pattern Recognition,,2022,,,EC5
AML: An accuracy metric model for effective evaluation of log parsing techniques,Issam Sedki and Abdelwahab Hamou-Lhadj and Otmane Ait Mohamed,2024,https://doi.org/10.1016/j.jss.2024.112154,https://www.sciencedirect.com/science/article/pii/S0164121224001997,EC1
APIs Are the Public Persona of an Industrialised Bank,Mohan Bhatia,2022,10.1007/978-981-16-6069-6_9,http://link.springer.com/chapter/10.1007/978-981-16-6069-6_9,EC1
ARC3N: A Collaborative Uncertainty Catalog to Address the Awareness Problem of Model-Based Confidentiality Analysis,"Hahner, Sebastian and Niehues, Nils and Boltz, Nicolas and Fuksa, Mario and Heinrich, Robert",2024,10.1145/3652620.3688556,https://doi.org/10.1145/3652620.3688556,EC1
"ARES '22: Proceedings of the 17th International Conference on Availability, Reliability and Security",,2022,,,EC5
"ARES '24: Proceedings of the 19th International Conference on Availability, Reliability and Security",,2024,,,EC5
A Model Driven Intelligent Orchestration Approach to Service Automation in Large Distributed Infrastructures,"Yang, Xi and Lehman, Tom and Kettimuthu, Raj and Winkler, Linda and Jung, Eun-Sung",2018,10.1145/3217197.3217207,https://doi.org/10.1145/3217197.3217207,IC1
ARGON: A Tool for Modeling Cloud Resources,Julio SandobalinEmilio InsfranSilvia Abrahao,2018,10.1007/978-3-319-91764-1_37,http://link.springer.com/chapter/10.1007/978-3-319-91764-1_37,EC1
ARGON: a model-driven infrastructure provisioning tool,"Sandobalin, Julio and Insfran, Emilio and Abiah\~{a}o, Silvia",2021,10.1109/MODELS-C.2019.00114,https://doi.org/10.1109/MODELS-C.2019.00114,EC7
ASE '16: Proceedings of the 31st IEEE/ACM International Conference on Automated Software Engineering,,2016,,,EC5
ASE '22: Proceedings of the 37th IEEE/ACM International Conference on Automated Software Engineering,,2022,,,EC5
AST '24: Proceedings of the 5th ACM/IEEE International Conference on Automation of Software Test (AST 2024),,2024,,,EC5
Accelerating Digital Transformation,Jan BoschJan CarlsonHelena Holmström OlssonKristian SandahlMiroslaw Staron,2022,10.1007/978-3-031-10873-0,http://link.springer.com/book/10.1007/978-3-031-10873-0,EC1
Actionable light-weight process guidance,Christoph Mayr-Dorn and Cosmina-Cristina Ratiu and Luciano {Marchezan de Paula} and Felix Keplinger and Alexander Egyed and Gala Walden,2024,https://doi.org/10.1016/j.jss.2024.112064,https://www.sciencedirect.com/science/article/pii/S0164121224001092,EC1
Adopting and Sustaining Microservice-Based Software Development,"Vitharana, Padmal and Daya, Shahir A.",2024,10.1145/3651620,https://doi.org/10.1145/3651620,EC5
Advanced Information Networking and Applications,Prof. Leonard BarolliDr. Isaac WoungangDr. Tomoya Enokido,2021,10.1007/978-3-030-75078-7,http://link.springer.com/book/10.1007/978-3-030-75078-7,EC5
Advanced Information Networking and Applications,Prof. Dr. Leonard BarolliProf. Farookh HussainProf. Tomoya Enokido,2022,10.1007/978-3-030-99619-2,http://link.springer.com/book/10.1007/978-3-030-99619-2,EC5
Advanced Information Networking and Applications,Leonard Barolli,2023,10.1007/978-3-031-28694-0,http://link.springer.com/book/10.1007/978-3-031-28694-0,EC5
Advanced Information Systems Engineering,Prof. Dr. Schahram DustdarDr. Eric YuCamille SalinesiDominique RieuVik Pant,2020,10.1007/978-3-030-49435-3,http://link.springer.com/book/10.1007/978-3-030-49435-3,EC5
Advanced Information Systems Engineering,Marta IndulskaIris Reinhartz-BergerCarlos CetinaOscar Pastor,2023,10.1007/978-3-031-34560-9,http://link.springer.com/book/10.1007/978-3-031-34560-9,EC5
Advanced Information Systems Engineering,Prof. Dr. Xavier FranchGeert PoelsDr. Frederik GaillyMonique Snoeck,2022,10.1007/978-3-031-07472-1,http://link.springer.com/book/10.1007/978-3-031-07472-1,EC5
Advanced Information Systems Engineering,Giancarlo GuizzardiFlavia SantoroHaralambos MouratidisPnina Soffer,2024,10.1007/978-3-031-61057-8,http://link.springer.com/book/10.1007/978-3-031-61057-8,EC5
Advanced Information Systems Engineering,Paolo GiorginiBarbara Weber,2019,10.1007/978-3-030-21290-2,http://link.springer.com/book/10.1007/978-3-030-21290-2,EC5
Advanced Information Systems Engineering,Marcello La RosaShazia SadiqProf. Ernest Teniente,2021,10.1007/978-3-030-79382-1,http://link.springer.com/book/10.1007/978-3-030-79382-1,EC5
Advanced Information Systems Engineering Workshops,Marcela RuizPnina Soffer,2023,10.1007/978-3-031-34985-0,http://link.springer.com/book/10.1007/978-3-031-34985-0,EC5
Advanced Intelligent Systems for Sustainable Development (AI2SD’2020),Janusz KacprzykDr. Valentina E. BalasProf. Mostafa Ezziyyani,2022,10.1007/978-3-030-90639-9,http://link.springer.com/book/10.1007/978-3-030-90639-9,EC5
"Advanced Research in Technologies, Information, Innovation and Sustainability",Teresa GuardaFilipe PortelaJose Maria Diaz-Nafria,2024,10.1007/978-3-031-48858-0,http://link.springer.com/book/10.1007/978-3-031-48858-0,EC5
