Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Model Driven Architecture in Containers-Based Software Development","Smart Innovations in Engineering and Technology","","","","10.1007/978-3-030-32861-0_10","Tomasz GórskiBartosz Chrabski","2020","http://link.springer.com/chapter/10.1007/978-3-030-32861-0_10","Chapter"
"Systematizing modeler experience (MX) in model-driven engineering success stories","Software and Systems Modeling","","23","4","10.1007/s10270-024-01194-w","Reyhaneh KalantariJulian OertelJoeri ExelmansSatrio Adi RukmonoVasco AmaralMatthias TichyKatharina JuhnkeJan-Philipp SteghöferSilvia Abrahão","2024","http://link.springer.com/article/10.1007/s10270-024-01194-w","Article"
"Model-Driven Engineering of Microservice Architectures—The LEMMA Approach","Ernst Denert Award for Software Engineering 2022","","","","10.1007/978-3-031-44412-8_5","Florian RademacherPhilip WizentyJonas SorgallaSabine SachwehAlbert Zündorf","2024","http://link.springer.com/chapter/10.1007/978-3-031-44412-8_5","Chapter"
"On Collaborative Model-Driven Development of Microservices","Software Technologies: Applications and Foundations","","","","10.1007/978-3-030-04771-9_45","Jonas SorgallaFlorian RademacherSabine SachwehAlbert Zündorf","2018","http://link.springer.com/chapter/10.1007/978-3-030-04771-9_45","Chapter"
"A Model-Driven Approach Towards Automatic Migration to Microservices","Software Engineering Aspects of Continuous Development and New Paradigms of Software Production and Deployment","","","","10.1007/978-3-030-39306-9_2","Antonio BucchiaroneKemal SoysalClaudio Guidi","2020","http://link.springer.com/chapter/10.1007/978-3-030-39306-9_2","Chapter"
"ChainOps for Smart Contract-Based Distributed Applications","Business Modeling and Software Design","","","","10.1007/978-3-030-79976-2_25","Willem-Jan van den HeuvelDamian A. TamburriDamiano D’AmiciFabiano IzzoS. Potten","2021","http://link.springer.com/chapter/10.1007/978-3-030-79976-2_25","Chapter"
"Interfacer: A Model-Driven Development Method for SDN Applications","Advanced Information Networking and Applications","","","","10.1007/978-3-030-15032-7_54","João Eurípedes Pereira JúniorFlávio de Oliveira SilvaJoão Henrique de Souza PereiraPedro Frosi Rosa","2020","http://link.springer.com/chapter/10.1007/978-3-030-15032-7_54","Chapter"
"eXtreme Model-Driven Development (XMDD) Technologies as a Hands-On Approach to Software Development Without Coding","Encyclopedia of Education and Information Technologies","","","","10.1007/978-3-319-60013-0_208-1","Tiziana MargariaBernhard Steffen","2020","http://link.springer.com/referenceworkentry/10.1007/978-3-319-60013-0_208-1","ReferenceWorkEntry"
"eXtreme Model-Driven Development (XMDD) Technologies as a Hands-On Approach to Software Development Without Coding","Encyclopedia of Education and Information Technologies","","","","10.1007/978-3-030-10576-1_208","Tiziana MargariaBernhard Steffen","2020","http://link.springer.com/referenceworkentry/10.1007/978-3-030-10576-1_208","ReferenceWorkEntry"
"Model-Driven Smart Contract Generation Leveraging ChatGPT","Advances in Systems Engineering","","","","10.1007/978-3-031-40579-2_37","Nenad PetrovićIssam Al-Azzoni","2023","http://link.springer.com/chapter/10.1007/978-3-031-40579-2_37","Chapter"
"A Model-Driven Approach for Systematic Reproducibility and Replicability of Data Science Projects","Advanced Information Systems Engineering","","","","10.1007/978-3-031-07472-1_9","Fran MelchorRoberto Rodriguez-EcheverriaJosé M. ConejeroÁlvaro E. PrietoJuan D. Gutiérrez","2022","http://link.springer.com/chapter/10.1007/978-3-031-07472-1_9","Chapter"
"Model-Driven Elasticity for Cloud Resources","Advanced Information Systems Engineering","","","","10.1007/978-3-319-91563-0_12","Hayet BrabraAchraf MtibaaWalid GaaloulBoualem Benatallah","2018","http://link.springer.com/chapter/10.1007/978-3-319-91563-0_12","Chapter"
"Stepwise Adoption of Continuous Delivery in Model-Driven Engineering","Software Engineering Aspects of Continuous Development and New Paradigms of Software Production and Deployment","","","","10.1007/978-3-030-06019-0_2","Jokin GarciaJordi Cabot","2019","http://link.springer.com/chapter/10.1007/978-3-030-06019-0_2","Chapter"
"Theme section on model-driven requirements engineering","Software and Systems Modeling","","21","6","10.1007/s10270-022-01055-4","Ana MoreiraGunter MussbacherJoão AraújoPablo Sánchez","2022","http://link.springer.com/article/10.1007/s10270-022-01055-4","Article"
"Model-Driven Security Smell Resolution in Microservice Architecture Using LEMMA","Software Technologies","","","","10.1007/978-3-031-61753-9_3","Philip WizentyFrancisco PonceFlorian RademacherJacopo SoldaniHernán AstudilloAntonio BrogiSabine Sachweh","2024","http://link.springer.com/chapter/10.1007/978-3-031-61753-9_3","Chapter"
"Model-Driven Engineering and Software Development","Communications in Computer and Information Science","","","","10.1007/978-3-031-38821-7","Luís Ferreira PiresSlimane HammoudiEdwin Seidewitz","2023","http://link.springer.com/book/10.1007/978-3-031-38821-7","Book"
"The Interoperability Challenge: Building a Model-Driven Digital Thread Platform for CPS","Leveraging Applications of Formal Methods, Verification and Validation","","","","10.1007/978-3-030-89159-6_25","Tiziana MargariaHafiz Ahmad Awais ChaudharyIvan GuevaraStephen RyanAlexander Schieweck","2021","http://link.springer.com/chapter/10.1007/978-3-030-89159-6_25","Chapter"
"Security Compliance in Model-Driven Software Development","Ernst Denert Award for Software Engineering 2022","","","","10.1007/978-3-031-44412-8_4","Sven Peldszus","2024","http://link.springer.com/chapter/10.1007/978-3-031-44412-8_4","Chapter"
"DSLs and Middleware Platforms in a Model-Driven Development Approach for Secure Predictive Maintenance Systems in Smart Factories","Leveraging Applications of Formal Methods, Verification and Validation","","","","10.1007/978-3-030-89159-6_10","Jobish JohnAmrita GhosalTiziana MargariaDirk Pesch","2021","http://link.springer.com/chapter/10.1007/978-3-030-89159-6_10","Chapter"
"Model-Driven Engineering and Software Development","Communications in Computer and Information Science","","","","10.1007/978-3-031-66339-0","Francisco José Domínguez MayoLuís Ferreira PiresEdwin Seidewitz","2024","http://link.springer.com/book/10.1007/978-3-031-66339-0","Book"
"Security Compliance in Model-driven Development of Software Systems in Presence of Long-Term Evolution and Variants","","","","","10.1007/978-3-658-37665-9","Sven Matthias Peldszus","2022","http://link.springer.com/book/10.1007/978-3-658-37665-9","Book"
"The SODALITE Model-Driven Approach","Deployment and Operation of Complex Software in Heterogeneous Execution Environments","","","","10.1007/978-3-031-04961-3_3","Jesús GorroñogoitiaDragan RadolovićZoe VasileiouGeorgios MeditskosAnastasios KarakostasStefanos VrochidisMichail Bachras","2022","http://link.springer.com/chapter/10.1007/978-3-031-04961-3_3","Chapter"
"Bridging MDE and AI: a systematic review of domain-specific languages and model-driven practices in AI software systems engineering","Software and Systems Modeling","","","","10.1007/s10270-024-01211-y","Simon RädlerLuca BerardinelliKarolin WinterAbbas RahimiStefanie Rinderle-Ma","2024","http://link.springer.com/article/10.1007/s10270-024-01211-y","Article"
"WESSBAS: extraction of probabilistic workload specifications for load testing and performance prediction—a model-driven approach for session-based application systems","Software & Systems Modeling","","17","2","10.1007/s10270-016-0566-5","Christian VögeleAndré van HoornEike SchulzWilhelm HasselbringHelmut Krcmar","2018","http://link.springer.com/article/10.1007/s10270-016-0566-5","Article"
"Business Modeling and Software Design","Lecture Notes in Business Information Processing","","","","10.1007/978-3-030-79976-2","Dr. Boris Shishkov","2021","http://link.springer.com/book/10.1007/978-3-030-79976-2","Book"
"Leveraging Applications of Formal Methods, Verification and Validation","Lecture Notes in Computer Science","","","","10.1007/978-3-030-89159-6","Tiziana MargariaProf. Dr. Bernhard Steffen","2021","http://link.springer.com/book/10.1007/978-3-030-89159-6","Book"
"Evaluation of Novel Approaches to Software Engineering","Communications in Computer and Information Science","","","","10.1007/978-3-031-64182-4","Hermann KaindlMike MannionLeszek A. Maciaszek","2024","http://link.springer.com/book/10.1007/978-3-031-64182-4","Book"
"Lean and Agile Software Development","Lecture Notes in Business Information Processing","","","","10.1007/978-3-030-94238-0","Adam PrzybyłekAleksander JarzębowiczIvan LukovićYen Ying Ng","2022","http://link.springer.com/book/10.1007/978-3-030-94238-0","Book"
"Ernst Denert Award for Software Engineering 2022","","","","","10.1007/978-3-031-44412-8","Eric BoddenMichael FeldererWilhelm HasselbringPaula HerberHeiko KoziolekCarola LilienthalFlorian MatthesLutz PrecheltBernhard RumpeIna Schaefer","2024","http://link.springer.com/book/10.1007/978-3-031-44412-8","Book"
"Software Architecture","Lecture Notes in Computer Science","","","","10.1007/978-3-031-70797-1","Matthias GalsterPatrizia ScandurraTommi MikkonenPablo Oliveira AntoninoElisa Yumi NakagawaElena Navarro","2024","http://link.springer.com/book/10.1007/978-3-031-70797-1","Book"
"Research Challenges in Information Science: Information Science and the Connected World","Lecture Notes in Business Information Processing","","","","10.1007/978-3-031-33080-3","Selmin NurcanAndreas L. OpdahlHaralambos MouratidisAggeliki Tsohou","2023","http://link.springer.com/book/10.1007/978-3-031-33080-3","Book"
"DevOps for DataOps","Practical DataOps","","","","10.1007/978-1-4842-5104-1_7","Harvinder Atwal","2020","http://link.springer.com/chapter/10.1007/978-1-4842-5104-1_7","Chapter"
"Product-Focused Software Process Improvement","Lecture Notes in Computer Science","","","","10.1007/978-3-319-49094-6","Pekka AbrahamssonAndreas JedlitschkaAnh Nguyen DucMichael FeldererSousuke AmasakiTommi Mikkonen","2016","http://link.springer.com/book/10.1007/978-3-319-49094-6","Book"
"Research Challenges in Information Science","Lecture Notes in Business Information Processing","","","","10.1007/978-3-031-05760-1","Renata GuizzardiDr. Jolita RalytéProf. Dr. Xavier Franch","2022","http://link.springer.com/book/10.1007/978-3-031-05760-1","Book"
"Software Architecture. ECSA 2022 Tracks and Workshops","Lecture Notes in Computer Science","","","","10.1007/978-3-031-36889-9","Thais BatistaTomáš BurešClaudia RaibuletHenry Muccini","2023","http://link.springer.com/book/10.1007/978-3-031-36889-9","Book"
"Power Platform and Dynamics 365 CE for Absolute Beginners","","","","","10.1007/978-1-4842-8600-5","Sanjaya Prakash Pradhan","2022","http://link.springer.com/book/10.1007/978-1-4842-8600-5","Book"
"Software Ecosystems","","","","","10.1007/978-3-031-36060-2","Tom MensCoen De RooverAnthony Cleve","2023","http://link.springer.com/book/10.1007/978-3-031-36060-2","Book"
"Enterprise, Business-Process and Information Systems Modeling","Lecture Notes in Business Information Processing","","","","10.1007/978-3-031-07475-2","Adriano AugustoProf. Asif GillDr. Dominik BorkSelmin NurcanDr. Iris Reinhartz-BergerProf. Rainer Schmidt","2022","http://link.springer.com/book/10.1007/978-3-031-07475-2","Book"
"Product-Focused Software Process Improvement","Lecture Notes in Computer Science","","","","10.1007/978-3-031-21388-5","Davide TaibiMarco KuhrmannTommi MikkonenJil KlünderPekka Abrahamsson","2022","http://link.springer.com/book/10.1007/978-3-031-21388-5","Book"
"Beginning Microsoft Dataverse","","","","","10.1007/978-1-4842-9334-8","Brian Hodel","2023","http://link.springer.com/book/10.1007/978-1-4842-9334-8","Book"
"Product-Focused Software Process Improvement","Lecture Notes in Computer Science","","","","10.1007/978-3-030-64148-1","Dr. Maurizio MorisioProf. Marco TorchianoAndreas Jedlitschka","2020","http://link.springer.com/book/10.1007/978-3-030-64148-1","Book"
"Advanced Information Systems Engineering","Lecture Notes in Computer Science","","","","10.1007/978-3-030-49435-3","Prof. Dr. Schahram DustdarDr. Eric YuCamille SalinesiDominique RieuVik Pant","2020","http://link.springer.com/book/10.1007/978-3-030-49435-3","Book"
"The Combined Power of Research, Education, and Dissemination","Lecture Notes in Computer Science","","","","10.1007/978-3-031-73887-6","Mike HincheyBernhard Steffen","2025","http://link.springer.com/book/10.1007/978-3-031-73887-6","Book"
"Leveraging Applications of Formal Methods, Verification and Validation. Software Engineering","Lecture Notes in Computer Science","","","","10.1007/978-3-031-19756-7","Tiziana MargariaBernhard Steffen","2022","http://link.springer.com/book/10.1007/978-3-031-19756-7","Book"
"Advanced Information Networking and Applications","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-75078-7","Prof. Leonard BarolliDr. Isaac WoungangDr. Tomoya Enokido","2021","http://link.springer.com/book/10.1007/978-3-030-75078-7","Book"
"Software Architecture","Communications in Computer and Information Science","","","","10.1007/978-3-030-59155-7","Henry MucciniParis AvgeriouDr. Barbora BuhnovaJavier CamaraMauro CaporuscioMirco FranzagoAnne KoziolekDr. Patrizia ScandurraCatia TrubianiDanny WeynsUwe Zdun","2020","http://link.springer.com/book/10.1007/978-3-030-59155-7","Book"
"Leveraging Applications of Formal Methods, Verification and Validation. Practice","Lecture Notes in Computer Science","","","","10.1007/978-3-031-19762-8","Tiziana MargariaBernhard Steffen","2022","http://link.springer.com/book/10.1007/978-3-031-19762-8","Book"
"Enterprise, Business-Process and Information Systems Modeling","Lecture Notes in Business Information Processing","","","","10.1007/978-3-030-79186-5","Adriano AugustoAsif GillSelmin NurcanDr. Iris Reinhartz-BergerProf. Rainer SchmidtJelena Zdravkovic","2021","http://link.springer.com/book/10.1007/978-3-030-79186-5","Book"
"Enterprise Information Systems","Lecture Notes in Business Information Processing","","","","10.1007/978-3-030-75418-1","Prof. Dr. Joaquim FilipeMichał ŚmiałekAlexander BrodskySlimane Hammoudi","2021","http://link.springer.com/book/10.1007/978-3-030-75418-1","Book"
"Body of Knowledge for Modeling and Simulation","Simulation Foundations, Methods and Applications","","","","10.1007/978-3-031-11085-6","Tuncer ÖrenBernard P. ZeiglerAndreas Tolk","2023","http://link.springer.com/book/10.1007/978-3-031-11085-6","Book"
"Theoretical Computer Science","Communications in Computer and Information Science","","","","10.1007/978-981-16-7443-3","Zhiping CaiJian LiDr. Jialin Zhang","2021","http://link.springer.com/book/10.1007/978-981-16-7443-3","Book"
"Software Architecture. ECSA 2023 Tracks, Workshops, and Doctoral Symposium","Lecture Notes in Computer Science","","","","10.1007/978-3-031-66326-0","Bedir TekinerdoğanRomina SpalazzeseHasan SözerSilvia BonfantiDanny Weyns","2024","http://link.springer.com/book/10.1007/978-3-031-66326-0","Book"
"Advanced Information Systems Engineering","Lecture Notes in Computer Science","","","","10.1007/978-3-031-34560-9","Marta IndulskaIris Reinhartz-BergerCarlos CetinaOscar Pastor","2023","http://link.springer.com/book/10.1007/978-3-031-34560-9","Book"
"Advances in Production Management Systems. Artificial Intelligence for Sustainable and Resilient Production Systems","IFIP Advances in Information and Communication Technology","","","","10.1007/978-3-030-85874-2","Alexandre DolguiProf. Alain BernardDavid LemoineGregor von CieminskiDavid Romero","2021","http://link.springer.com/book/10.1007/978-3-030-85874-2","Book"
"Service-Oriented Computing – ICSOC 2022 Workshops","Lecture Notes in Computer Science","","","","10.1007/978-3-031-26507-5","Javier TroyaRaffaela MirandolaElena NavarroAndrea DelgadoSergio SeguraGuadalupe OrtizCesare PautassoChristian ZirpinsPablo FernándezAntonio Ruiz-Cortés","2023","http://link.springer.com/book/10.1007/978-3-031-26507-5","Book"
"Machine Learning for Managing Modeling Ecosystems: Techniques, Applications, and a Research Vision","Software Ecosystems","","","","10.1007/978-3-031-36060-2_10","Davide Di RuscioPhuong T. NguyenAlfonso Pierantonio","2023","http://link.springer.com/chapter/10.1007/978-3-031-36060-2_10","Chapter"
"Domain-Specific Languages in Practice","","","","","10.1007/978-3-030-73758-0","Dr. Antonio BucchiaronePh.D. Antonio CicchettiDr. Federico CiccozziProf. Alfonso Pierantonio","2021","http://link.springer.com/book/10.1007/978-3-030-73758-0","Book"
"Conceptual Modeling","Lecture Notes in Computer Science","","","","10.1007/978-3-031-75872-0","Wolfgang MaassHyoil HanHasan YasarNick Multari","2025","http://link.springer.com/book/10.1007/978-3-031-75872-0","Book"
"New Perspectives in Software Engineering","Studies in Computational Intelligence","","","","10.1007/978-3-031-50590-4","Jezreel MejíaMirna MuñozAlvaro RochaYasmin Hernández PérezHimer Avila-George","2024","http://link.springer.com/book/10.1007/978-3-031-50590-4","Book"
"Bridging the Gap Between AI and Reality","Lecture Notes in Computer Science","","","","10.1007/978-3-031-73741-1","Bernhard Steffen","2025","http://link.springer.com/book/10.1007/978-3-031-73741-1","Book"
"Product-Focused Software Process Improvement","Lecture Notes in Computer Science","","","","10.1007/978-3-030-35333-9","Prof. Dr. Xavier FranchTomi MännistöSilverio Martínez-Fernández","2019","http://link.springer.com/book/10.1007/978-3-030-35333-9","Book"
"Web Engineering","Lecture Notes in Computer Science","","","","10.1007/978-3-031-34444-2","Irene GarrigósJuan Manuel Murillo RodríguezManuel Wimmer","2023","http://link.springer.com/book/10.1007/978-3-031-34444-2","Book"
"Software Architecture. ECSA 2024 Tracks and Workshops","Lecture Notes in Computer Science","","","","10.1007/978-3-031-71246-3","Apostolos AmpatzoglouJennifer PérezBarbora BuhnovaValentina LenarduzziColin C. VentersUwe ZdunKhalil DriraLuciana RebeloDaniele Di PompeoMichele TucciElisa Yumi NakagawaElena Navarro","2024","http://link.springer.com/book/10.1007/978-3-031-71246-3","Book"
"Metamodeling: Applications and Trajectories to the Future","","","","","10.1007/978-3-031-56862-6","Hans-Georg FillHarald Kühn","2024","http://link.springer.com/book/10.1007/978-3-031-56862-6","Book"
"Advances in Information and Communication","Advances in Intelligent Systems and Computing","","","","10.1007/978-3-030-73100-7","Kohei Arai","2021","http://link.springer.com/book/10.1007/978-3-030-73100-7","Book"
"Encyclopedia of Education and Information Technologies","","","","","10.1007/978-3-030-10576-1","Arthur Tatnall","2020","http://link.springer.com/referencework/10.1007/978-3-030-10576-1","ReferenceWork"
"Proceedings of Seventh International Congress on Information and Communication Technology","Lecture Notes in Networks and Systems","","","","10.1007/978-981-19-1607-6","Dr. Xin-She YangDr. Simon SherrattDr. Nilanjan DeyDr. Amit Joshi","2023","http://link.springer.com/book/10.1007/978-981-19-1607-6","Book"
"Safety and Security of Cyber-Physical Systems","","","","","10.1007/978-3-658-37182-1","Dr. Frank J. Furrer","2022","http://link.springer.com/book/10.1007/978-3-658-37182-1","Book"
"Springer Handbook of Automation","Springer Handbooks","","","","10.1007/978-3-030-96729-1","Shimon Y. Nof","2023","http://link.springer.com/book/10.1007/978-3-030-96729-1","Book"
"Digital Transformation","","","","","10.1007/978-3-662-65004-2","Birgit Vogel-HeuserManuel Wimmer","2023","http://link.springer.com/book/10.1007/978-3-662-65004-2","Book"
"Service-Oriented Computing","Communications in Computer and Information Science","","","","10.1007/978-3-030-87568-8","Johanna Barzen","2021","http://link.springer.com/book/10.1007/978-3-030-87568-8","Book"
"Composing Model-Based Analysis Tools","","","","","10.1007/978-3-030-81915-6","Dr. Robert HeinrichProf. Francisco DuránDr. Carolyn TalcottDr. Steffen Zschaler","2021","http://link.springer.com/book/10.1007/978-3-030-81915-6","Book"
"Advanced Information Systems Engineering","Lecture Notes in Computer Science","","","","10.1007/978-3-031-07472-1","Prof. Dr. Xavier FranchGeert PoelsDr. Frederik GaillyMonique Snoeck","2022","http://link.springer.com/book/10.1007/978-3-031-07472-1","Book"
"Deployment and Operation of Complex Software in Heterogeneous Execution Environments","SpringerBriefs in Applied Sciences and Technology","","","","10.1007/978-3-031-04961-3","Prof. Elisabetta Di NittoDr. Jesús Gorroñogoitia CruzDr. Indika KumaraDr. Dragan RadolovićDr. Kamil TokmakovDr. Zoe Vasileiou","2022","http://link.springer.com/book/10.1007/978-3-031-04961-3","Book"
"Software Technologies","Communications in Computer and Information Science","","","","10.1007/978-3-031-61753-9","Hans-Georg FillFrancisco José Domínguez MayoMarten van SinderenLeszek A. Maciaszek","2024","http://link.springer.com/book/10.1007/978-3-031-61753-9","Book"
"Model-based cloud resource management with TOSCA and OCCI","Software and Systems Modeling","","20","5","10.1007/s10270-021-00869-y","Stéphanie ChallitaFabian KorteJohannes ErbelFaiez ZalilaJens GrabowskiPhilippe Merle","2021","http://link.springer.com/article/10.1007/s10270-021-00869-y","Article"
"Software Architecture","","","","","10.1007/978-3-031-36847-9","Patrizio PelliccioneRick KazmanIngo WeberAnna Liu","2023","http://link.springer.com/book/10.1007/978-3-031-36847-9","Book"
"Advances in Conceptual Modeling","Lecture Notes in Computer Science","","","","10.1007/978-3-031-75599-6","Motoshi SaekiLeah WongJoão AraujoClara AyoraAnna BernasconiMatteo BuffaSilvana CastanoPeter FettkeHans-Georg FillAlberto García S.Miguel GoulãoCristine GriffoJin-Taek JungJulius KöpkeBeatriz MarínStefano MontanelliEdelweis RohrerJosé F. Reyes Román","2025","http://link.springer.com/book/10.1007/978-3-031-75599-6","Book"
"Service Oriented, Holonic and Multi-Agent Manufacturing Systems for Industry of the Future","Studies in Computational Intelligence","","","","10.1007/978-3-031-53445-4","Theodor BorangiuDamien TrentesauxPaulo LeitãoLamia BerrahJose-Fernando Jimenez","2024","http://link.springer.com/book/10.1007/978-3-031-53445-4","Book"
"Business Modeling and Software Design","Lecture Notes in Business Information Processing","","","","10.1007/978-3-031-64073-5","Boris Shishkov","2024","http://link.springer.com/book/10.1007/978-3-031-64073-5","Book"
"Trends and Applications in Information Systems and Technologies","Advances in Intelligent Systems and Computing","","","","10.1007/978-3-030-72654-6","Prof. Álvaro RochaHojjat AdeliDr. Gintautas DzemydaProf. Fernando MoreiraProf. Ana Maria Ramalho Correia","2021","http://link.springer.com/book/10.1007/978-3-030-72654-6","Book"
"Enterprise, Business-Process and Information Systems Modeling","Lecture Notes in Business Information Processing","","","","10.1007/978-3-031-34241-7","Han van der AaDominik BorkHenderik A. ProperRainer Schmidt","2023","http://link.springer.com/book/10.1007/978-3-031-34241-7","Book"
"Advanced Information Systems Engineering","Lecture Notes in Computer Science","","","","10.1007/978-3-031-61057-8","Giancarlo GuizzardiFlavia SantoroHaralambos MouratidisPnina Soffer","2024","http://link.springer.com/book/10.1007/978-3-031-61057-8","Book"
"A Low-Code Approach for Connected Robots","Journal of Intelligent & Robotic Systems","","108","2","10.1007/s10846-023-01861-y","Rafail BrouzosKonstantinos PanayiotouEmmanouil TsardouliasAndreas Symeonidis","2023","http://link.springer.com/article/10.1007/s10846-023-01861-y","Article"
"Software Business","Lecture Notes in Business Information Processing","","","","10.1007/978-3-031-53227-6","Sami HyrynsalmiJürgen MünchKari SmolanderJorge Melegati","2024","http://link.springer.com/book/10.1007/978-3-031-53227-6","Book"
"MLOps Lifecycle Toolkit","","","","","10.1007/978-1-4842-9642-4","Dayne Sorvisto","2023","http://link.springer.com/book/10.1007/978-1-4842-9642-4","Book"
"The Practice of Enterprise Modeling","Lecture Notes in Business Information Processing","","","","10.1007/978-3-031-48583-1","João Paulo A. AlmeidaMonika Kaczmarek-HeßAgnes KoschmiderHenderik A. Proper","2024","http://link.springer.com/book/10.1007/978-3-031-48583-1","Book"
"Web Engineering","Lecture Notes in Computer Science","","","","10.1007/978-3-031-62362-2","Kostas StefanidisKari SystäMaristella MateraSebastian HeilHaridimos KondylakisElisa Quintarelli","2024","http://link.springer.com/book/10.1007/978-3-031-62362-2","Book"
"Software Architecture","Lecture Notes in Computer Science","","","","10.1007/978-3-031-15116-3","Prof. Patrizia ScandurraMatthias GalsterProf. Raffaela MirandolaProf. Dr. Danny Weyns","2022","http://link.springer.com/book/10.1007/978-3-031-15116-3","Book"
"Software Technologies","Communications in Computer and Information Science","","","","10.1007/978-3-031-11513-4","Prof. Dr. Hans-Georg FillDr. Marten van SinderenProf. Leszek A. Maciaszek","2022","http://link.springer.com/book/10.1007/978-3-031-11513-4","Book"
"Machine Learning for Oracle Database Professionals","","","","","10.1007/978-1-4842-7032-5","Heli HelskyahoJean YuKai Yu","2021","http://link.springer.com/book/10.1007/978-1-4842-7032-5","Book"
"Design for Equality and Justice","Lecture Notes in Computer Science","","","","10.1007/978-3-031-61688-4","Anna Bramwell-DicksAbigail EvansMarco WincklerHelen PetrieJosé Abdelnour-Nocera","2024","http://link.springer.com/book/10.1007/978-3-031-61688-4","Book"
"Fundamental Approaches to Software Engineering","Lecture Notes in Computer Science","","","","10.1007/978-3-030-99429-7","Prof. Einar Broch JohnsenProf. Manuel Wimmer","2022","http://link.springer.com/book/10.1007/978-3-030-99429-7","Book"
"Handbook of Re-Engineering Software Intensive Systems into Software Product Lines","","","","","10.1007/978-3-031-11686-5","Roberto E. Lopez-HerrejonJabier MartinezWesley Klewerton Guez AssunçãoTewfik ZiadiMathieu AcherSilvia Vergilio","2023","http://link.springer.com/book/10.1007/978-3-031-11686-5","Book"
"Conceptual Modeling","Lecture Notes in Computer Science","","","","10.1007/978-3-031-47262-6","João Paulo A. AlmeidaJosé BorbinhaGiancarlo GuizzardiSebastian LinkJelena Zdravkovic","2023","http://link.springer.com/book/10.1007/978-3-031-47262-6","Book"
"Internet of Things. IoT through a Multi-disciplinary Perspective","IFIP Advances in Information and Communication Technology","","","","10.1007/978-3-031-18872-5","Luis M. Camarinha-MatosLuis RibeiroLeon Strous","2022","http://link.springer.com/book/10.1007/978-3-031-18872-5","Book"
"The Azure Data Lakehouse Toolkit","","","","","10.1007/978-1-4842-8233-5","Ron L'Esteve","2022","http://link.springer.com/book/10.1007/978-1-4842-8233-5","Book"
"Computational Science and Its Applications – ICCSA 2021","Lecture Notes in Computer Science","","","","10.1007/978-3-030-87013-3","Prof. Dr. Osvaldo GervasiBeniamino MurganteDr. Sanjay MisraDr. Chiara GarauIvan BlečićDavid TaniarBernady O. ApduhanAna Maria A. C. RochaEufemia TarantinoProf. Dr. Carmelo Maria Torre","2021","http://link.springer.com/book/10.1007/978-3-030-87013-3","Book"
